"search-number","evaluation","sun-brightness*","albedo*","initial-clouds*","CO2-amount*","fitness","num-replicates","best-fitness-so-far"
"1","10","2.6","0.8","2","75","19.200922982351507","10","19.200922982351507"
"1","20","0.6000000000000001","0.8500000000000001","5","150","13.210836658526379","10","19.200922982351507"
"1","30","4.2","0.55","2","0","32.43934162514957","10","32.43934162514957"
"1","40","0.2","0.05","2","250","14.232016602896076","10","32.43934162514957"
"1","50","2.8000000000000003","0.4","3","25","29.51561782238564","10","32.43934162514957"
"1","60","4.4","0.8","2","225","24.523996297629708","10","32.43934162514957"
"1","70","0.6000000000000001","0.30000000000000004","9","100","14.787625223288282","10","32.43934162514957"
"1","80","2.8000000000000003","0.65","4","50","23.05599085594535","10","32.43934162514957"
"1","90","4.6000000000000005","0.9500000000000001","9","150","14.135545806277943","10","32.43934162514957"
"1","100","5","0.55","9","0","25.755223751099198","10","32.43934162514957"
"1","110","0","0.5","4","150","11.999999999999998","10","32.43934162514957"
"1","120","4","0.4","4","250","31.8755429379857","10","32.43934162514957"
"1","130","0.2","0.1","1","50","14.17696713174036","10","32.43934162514957"
"1","140","3.8000000000000003","0.05","7","0","32.308472930190035","10","32.43934162514957"
"1","150","0","0.65","9","75","11.999999999999998","10","32.43934162514957"
"1","160","3.6","0","0","150","47.65390889502309","10","47.65390889502309"
"1","170","3","0.5","9","50","22.736636891266066","10","47.65390889502309"
"1","180","1.8","0.05","8","75","21.685609204429976","10","47.65390889502309"
"1","190","3.4000000000000004","0.2","3","250","35.219659049404086","10","47.65390889502309"
"1","200","5","0.2","1","75","46.61789366266296","10","47.65390889502309"
"1","210","4.4","0.05","6","0","34.47737479383149","10","47.65390889502309"
"1","220","5","0.8500000000000001","4","175","20.716243765661314","10","47.65390889502309"
"1","230","2.4000000000000004","0.35000000000000003","2","100","29.938533165160386","10","47.65390889502309"
"1","240","4","0.2","8","100","30.419802254570534","10","47.65390889502309"
"1","250","3.6","0.30000000000000004","4","75","32.259200430231225","10","47.65390889502309"
"1","260","2.8000000000000003","0.5","9","25","22.287645540346013","10","47.65390889502309"
"1","270","4.6000000000000005","0.5","3","175","33.17381115884455","10","47.65390889502309"
"1","280","0.8","1","0","175","11.999999999999998","10","47.65390889502309"
"1","290","2.8000000000000003","0.8500000000000001","7","175","16.98828036955872","10","47.65390889502309"
"1","300","2","0","0","250","36.0125360693642","10","47.65390889502309"
